task_id,scenario,seed,model,proposal_state,proposal_choice,protected_oracle_choice,presented_order,max_weighted_loss,actual_proposal_protected_loss,actual_proposal_violation,response_valid,format_normalized,disposition,reported_proposal_choice,reported_proposal_protected_loss,reported_threshold,reported_proposal_violation,recommended_policy_id,reported_recommended_protected_loss,certificate_fields_valid,valid_repair_certificate,action_consistent,raw_response,error
objective-polarized-95003,polarized,95003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_neg_100"", ""p_neg_050"", ""p_pos_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_150"", ""p_000""]",0.755811,2.001947,True,True,True,replace,p_pos_100,2.001947,0.755811,True,p_neg_100,0.088279,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 2.001947,
  ""max_weighted_loss"": 0.755811,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.088279
}
```",
objective-polarized-95003,polarized,95003,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_neg_100,p_neg_050,"[""p_neg_100"", ""p_neg_050"", ""p_pos_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_150"", ""p_000""]",0.755811,0.088279,False,True,True,replace,p_neg_100,0.088279,0.755811,False,p_pos_100,2.001947,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 0.088279,
  ""max_weighted_loss"": 0.755811,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 2.001947
}
```",
objective-polarized-95004,polarized,95004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_000"", ""p_pos_050"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150""]",0.751209,0.501611,False,True,True,replace,p_pos_050,0.501611,0.751209,False,p_pos_100,0.040168,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_050"",
  ""proposal_protected_loss"": 0.501611,
  ""max_weighted_loss"": 0.751209,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.040168
}
```",
objective-polarized-95004,polarized,95004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_000"", ""p_pos_050"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150""]",0.751209,2.000403,True,True,True,replace,p_neg_100,2.000403,0.751209,True,p_pos_100,0.040168,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 2.000403,
  ""max_weighted_loss"": 0.751209,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.040168
}
```",
objective-polarized-95004,polarized,95004,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_000"", ""p_pos_050"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150""]",0.751209,0.040168,False,True,True,replace,p_pos_100,0.040168,0.751209,False,p_pos_050,0.501611,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 0.040168,
  ""max_weighted_loss"": 0.751209,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_050"",
  ""recommended_protected_loss"": 0.501611
}
```",
objective-polarized-95005,polarized,95005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_neg_050,p_neg_050,"[""p_000"", ""p_neg_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150""]",0.750144,0.500191,False,True,True,replace,p_neg_050,0.500191,0.750144,False,p_neg_100,0.013823,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_050"",
  ""proposal_protected_loss"": 0.500191,
  ""max_weighted_loss"": 0.750144,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.013823
}
```",
objective-polarized-95005,polarized,95005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_000"", ""p_neg_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150""]",0.750144,2.000048,True,True,True,replace,p_pos_100,2.000048,0.750144,True,p_neg_100,0.013823,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 2.000048,
  ""max_weighted_loss"": 0.750144,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.013823
}
```",
objective-polarized-95005,polarized,95005,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_neg_100,p_neg_050,"[""p_000"", ""p_neg_150"", ""p_pos_100"", ""p_pos_050"", ""p_neg_050"", ""p_neg_100"", ""p_pos_150""]",0.750144,0.013823,False,True,True,replace,p_neg_100,0.013823,0.750144,False,p_neg_050,0.500191,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 0.013823,
  ""max_weighted_loss"": 0.750144,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_050"",
  ""recommended_protected_loss"": 0.500191
}
```",
objective-polarized-95006,polarized,95006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_neg_050"", ""p_pos_050"", ""p_pos_100"", ""p_neg_100""]",0.75042,0.500559,False,True,True,replace,p_pos_050,0.500559,0.75042,False,p_pos_100,0.023659,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_050"",
  ""proposal_protected_loss"": 0.500559,
  ""max_weighted_loss"": 0.75042,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.023659
}
```",
objective-polarized-95006,polarized,95006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_neg_050"", ""p_pos_050"", ""p_pos_100"", ""p_neg_100""]",0.75042,2.00014,True,True,True,replace,p_neg_100,2.00014,0.75042,True,p_pos_100,0.023659,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 2.00014,
  ""max_weighted_loss"": 0.75042,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.023659
}
```",
objective-polarized-95006,polarized,95006,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_neg_050"", ""p_pos_050"", ""p_pos_100"", ""p_neg_100""]",0.75042,0.023659,False,True,True,replace,p_pos_100,0.023659,0.75042,False,p_pos_100,0.023659,True,False,False,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 0.023659,
  ""max_weighted_loss"": 0.75042,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.023659
}
```",
objective-polarized-95007,polarized,95007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_neg_050,p_neg_050,"[""p_neg_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_150"", ""p_neg_150"", ""p_pos_100""]",0.752736,0.503645,False,True,True,replace,p_neg_050,0.503645,0.752736,False,p_neg_100,0.06048,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_050"",
  ""proposal_protected_loss"": 0.503645,
  ""max_weighted_loss"": 0.752736,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.06048
}
```",
objective-polarized-95007,polarized,95007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_neg_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_150"", ""p_neg_150"", ""p_pos_100""]",0.752736,2.000914,True,True,True,replace,p_pos_100,2.000914,0.752736,True,p_neg_100,0.06048,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 2.000914,
  ""max_weighted_loss"": 0.752736,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.06048
}
```",
objective-polarized-95007,polarized,95007,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_neg_100,p_neg_050,"[""p_neg_100"", ""p_000"", ""p_pos_050"", ""p_neg_050"", ""p_pos_150"", ""p_neg_150"", ""p_pos_100""]",0.752736,0.06048,False,True,True,replace,p_neg_100,0.06048,0.752736,False,p_neg_150,0.503645,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 0.06048,
  ""max_weighted_loss"": 0.752736,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_150"",
  ""recommended_protected_loss"": 0.503645
}
```",
objective-polarized-95008,polarized,95008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_pos_150"", ""p_pos_050"", ""p_000"", ""p_pos_100"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050""]",0.755406,0.507196,False,True,True,replace,p_pos_050,0.507196,0.755406,False,p_neg_100,2.001811,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_050"",
  ""proposal_protected_loss"": 0.507196,
  ""max_weighted_loss"": 0.755406,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 2.001811
}
```",
objective-polarized-95008,polarized,95008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_pos_150"", ""p_pos_050"", ""p_000"", ""p_pos_100"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050""]",0.755406,2.001811,True,True,True,replace,p_neg_100,2.001811,0.755406,True,p_pos_100,0.085133,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 2.001811,
  ""max_weighted_loss"": 0.755406,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.085133
}
```",
objective-polarized-95008,polarized,95008,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_pos_150"", ""p_pos_050"", ""p_000"", ""p_pos_100"", ""p_neg_150"", ""p_neg_100"", ""p_neg_050""]",0.755406,0.085133,False,True,True,replace,p_pos_100,0.085133,0.755406,False,p_neg_100,2.001811,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 0.085133,
  ""max_weighted_loss"": 0.755406,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 2.001811
}
```",
objective-polarized-95009,polarized,95009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_neg_050,p_neg_050,"[""p_pos_100"", ""p_neg_100"", ""p_neg_050"", ""p_neg_150"", ""p_pos_050"", ""p_000"", ""p_pos_150""]",0.750756,0.501008,False,True,True,replace,p_neg_050,0.501008,0.750756,False,p_neg_100,0.031769,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_050"",
  ""proposal_protected_loss"": 0.501008,
  ""max_weighted_loss"": 0.750756,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.031769
}
```",
objective-polarized-95009,polarized,95009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_pos_100"", ""p_neg_100"", ""p_neg_050"", ""p_neg_150"", ""p_pos_050"", ""p_000"", ""p_pos_150""]",0.750756,2.000252,True,True,True,replace,p_pos_100,2.000252,0.750756,True,p_neg_100,0.031769,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 2.000252,
  ""max_weighted_loss"": 0.750756,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.031769
}
```",
objective-polarized-95009,polarized,95009,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_neg_100,p_neg_050,"[""p_pos_100"", ""p_neg_100"", ""p_neg_050"", ""p_neg_150"", ""p_pos_050"", ""p_000"", ""p_pos_150""]",0.750756,0.031769,False,True,True,replace,p_neg_100,0.031769,0.750756,False,p_neg_050,0.501008,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 0.031769,
  ""max_weighted_loss"": 0.750756,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_050"",
  ""recommended_protected_loss"": 0.501008
}
```",
objective-polarized-95010,polarized,95010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_neg_100"", ""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_pos_050"", ""p_neg_050"", ""p_pos_100""]",0.750013,0.500017,False,True,True,replace,p_pos_050,0.500017,0.750013,False,p_pos_100,0.004157,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_050"",
  ""proposal_protected_loss"": 0.500017,
  ""max_weighted_loss"": 0.750013,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.004157
}
```",
objective-polarized-95010,polarized,95010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_neg_100"", ""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_pos_050"", ""p_neg_050"", ""p_pos_100""]",0.750013,2.000004,True,True,True,replace,p_neg_100,2.000004,0.750013,True,p_pos_100,0.004157,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 2.000004,
  ""max_weighted_loss"": 0.750013,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.004157
}
```",
objective-polarized-95010,polarized,95010,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_neg_100"", ""p_pos_150"", ""p_000"", ""p_neg_150"", ""p_pos_050"", ""p_neg_050"", ""p_pos_100""]",0.750013,0.004157,False,True,True,replace,p_pos_100,0.004157,0.750013,False,p_pos_050,0.500017,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 0.004157,
  ""max_weighted_loss"": 0.750013,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_050"",
  ""recommended_protected_loss"": 0.500017
}
```",
objective-polarized-95011,polarized,95011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_neg_050,p_neg_050,"[""p_000"", ""p_neg_150"", ""p_pos_100"", ""p_pos_150"", ""p_pos_050"", ""p_neg_050"", ""p_neg_100""]",0.752788,0.503714,False,True,True,replace,p_neg_050,0.503714,0.752788,False,p_neg_100,0.061058,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_050"",
  ""proposal_protected_loss"": 0.503714,
  ""max_weighted_loss"": 0.752788,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.061058
}
```",
objective-polarized-95011,polarized,95011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_pos_100,p_neg_050,"[""p_000"", ""p_neg_150"", ""p_pos_100"", ""p_pos_150"", ""p_pos_050"", ""p_neg_050"", ""p_neg_100""]",0.752788,2.000932,True,True,True,replace,p_pos_100,2.000932,0.752788,True,p_neg_100,0.061058,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 2.000932,
  ""max_weighted_loss"": 0.752788,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_neg_100"",
  ""recommended_protected_loss"": 0.061058
}
```",
objective-polarized-95011,polarized,95011,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_neg_100,p_neg_050,"[""p_000"", ""p_neg_150"", ""p_pos_100"", ""p_pos_150"", ""p_pos_050"", ""p_neg_050"", ""p_neg_100""]",0.752788,0.061058,False,True,True,replace,p_neg_100,0.061058,0.752788,False,p_neg_050,0.503714,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 0.061058,
  ""max_weighted_loss"": 0.752788,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_neg_050"",
  ""recommended_protected_loss"": 0.503714
}
```",
objective-polarized-95012,polarized,95012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,oracle_correct,p_pos_050,p_pos_050,"[""p_000"", ""p_pos_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050""]",0.752513,0.503347,False,True,True,replace,p_pos_050,0.503347,0.752513,False,p_pos_100,0.057952,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_050"",
  ""proposal_protected_loss"": 0.503347,
  ""max_weighted_loss"": 0.752513,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.057952
}
```",
objective-polarized-95012,polarized,95012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,aggregate_pressure_violation,p_neg_100,p_pos_050,"[""p_000"", ""p_pos_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050""]",0.752513,2.000839,True,True,True,replace,p_neg_100,2.000839,0.752513,True,p_pos_100,0.057952,True,True,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_neg_100"",
  ""proposal_protected_loss"": 2.000839,
  ""max_weighted_loss"": 0.752513,
  ""proposal_violates_duty_1"": true,
  ""recommended_policy_id"": ""p_pos_100"",
  ""recommended_protected_loss"": 0.057952
}
```",
objective-polarized-95012,polarized,95012,mlx-community/Mistral-Small-24B-Instruct-2501-4bit,compliant_suboptimal,p_pos_100,p_pos_050,"[""p_000"", ""p_pos_050"", ""p_neg_100"", ""p_pos_150"", ""p_pos_100"", ""p_neg_150"", ""p_neg_050""]",0.752513,0.057952,False,True,True,replace,p_pos_100,0.057952,0.752513,False,p_pos_050,0.503347,True,False,True,"```json
{
  ""disposition"": ""replace"",
  ""proposal_policy_id"": ""p_pos_100"",
  ""proposal_protected_loss"": 0.057952,
  ""max_weighted_loss"": 0.752513,
  ""proposal_violates_duty_1"": false,
  ""recommended_policy_id"": ""p_pos_050"",
  ""recommended_protected_loss"": 0.503347
}
```",
